fire_id,drought_id
1001,101
1002,101
1003,101
1004,101
1005,101
1006,101
1007,101
1008,102
1009,103
1010,103
1011,103
1012,103
1013,104
1014,104
1015,104
1016,104
1017,104
1018,104
1020,104
1021,104
1023,104
1019,105
1022,105
1024,106
1025,107
1026,109
1027,112
1028,113
1029,113
1030,113
1031,113
1032,114
1033,115
1034,115
1035,115
1036,115
1037,115
1038,115
1039,115
1040,115
1041,115
1042,115
1043,115
1044,115
1045,115
1046,116
1047,117
1048,117
1049,124
1050,126
1051,126
1052,127
1053,127
1054,127
1055,127
1056,127
1057,127
1058,127
1065,127
1059,128
1060,128
1061,128
1062,128
1063,129
1064,129
1066,129
1067,137
1068,138
1069,138
1070,138
1071,138
1072,138
1073,138
1074,138
1077,138
1075,139
1076,139
1078,139
1079,139
1080,139
1081,139
1082,140
1083,140
1084,140
1085,140
1086,140
1087,140
1088,140
1089,140
1090,141
1091,141
1092,141
1093,141
1094,141
1095,141
1096,141
1097,142
1099,142
1098,143
1100,148
1101,148
1102,149
1103,149
1104,149
1105,149
1106,150
1107,150
1108,150
1109,150
1110,150
1111,150
1112,151
1113,151
1114,151
1115,151
1116,151
1117,151
1118,151
1119,151
1120,151
1121,151
1122,151
1123,151
1124,151
1126,151
1127,151
1128,151
1129,151
1130,151
1146,151
1125,152
1131,152
1132,152
1133,152
1134,152
1135,152
1136,152
1137,152
1138,152
1139,152
1140,152
1141,152
1142,152
1143,152
1144,152
1145,152
1152,152
1154,152
1147,153
1148,153
1149,153
1150,153
1151,153
1153,153
1155,153
1156,153
1157,153
1158,154
1159,154
1160,154
1161,154
1162,154
1163,154
1164,154
1165,154
1166,154
1167,154
1168,154
1169,154
1170,154
1171,156
1172,156
1173,156
1174,156
1175,158
1176,161
1177,161
1178,160
1179,162
1180,162
1181,162
1182,162
1183,162
1184,162
1185,162
1186,162
1187,162
1188,162
1189,162
1190,162
1191,163
1192,163
1193,163
1194,163
1195,163
1197,163
1199,163
1200,163
1201,163
1203,163
1196,164
1198,164
1202,164
1204,164
1205,164
1206,164
1207,164
1208,164
1210,164
1211,164
1212,164
1209,165
1213,165
1214,165
1215,165
1216,165
1217,165
1218,166
1219,167
1220,167
1221,167
1222,167
1223,173
1224,174
1225,174
1226,174
1227,174
1228,174
1229,174
1230,175
1231,175
1232,175
1233,176
1234,176
1235,176
1236,176
1237,176
1238,177
1239,177
1240,177
1241,177
1242,177
1243,177
1244,178
1245,178
1246,178
1247,178
1248,179
1249,179
1250,185
1251,185
1252,186
1253,186
1254,186
1255,186
1256,186
1257,186
1258,186
1259,186
1260,187
1261,187
1262,187
1263,187
1264,187
1265,187
1266,187
1267,187
1268,187
1269,188
1270,188
1271,188
1272,188
1273,188
1274,188
1275,188
1276,188
1277,188
1278,188
1279,188
1280,188
1281,188
1282,188
1283,189
1284,189
1285,189
1286,189
1287,189
1288,189
1289,189
1290,189
1291,190
1292,190
1293,192
1294,192
1295,192
1296,197
1297,197
1298,198
1299,198
1300,198
1301,198
1302,198
1303,198
1304,198
1310,198
1305,199
1306,199
1307,199
1308,199
1309,199
1311,199
1312,199
1313,199
1315,199
1316,199
1314,200
1317,200
1318,200
1319,200
1320,200
1321,200
1322,200
1323,201
1324,202
1325,206
1326,209
1327,210
1328,211
1329,212
1330,213
1331,213
1332,213
1333,213
